hhh_gender...1,hhh_age,monthly_spending...3,any_drops,hhh_literacy...5,age,gender,hhid,group,benef,group1,group_tvn,maths_results,maths_results_s...14,any_drops_n...15,female,est_num_kids,f4,school_spending
1,74,11.02676922,1,1,3614.458333,1,A344005,1,2,2,2,4,-1.334130819,0.143133648,FALSE,2,3,2520
1,74,11.02676922,1,1,4964.416667,2,A344005,1,2,2,2,4,-1.334130819,0.143133648,FALSE,2,3,2520
1,73,11.30994862,1,2,3396.458333,2,A344006,1,2,2,2,4,-1.334130819,0.143133648,FALSE,3,2,700
1,73,11.30994862,1,2,5180.416667,1,A344006,1,2,2,2,4,-1.334130819,0.143133648,FALSE,3,2,700
1,73,11.30994862,1,2,4465.416667,2,A344006,1,2,2,2,4,-1.334130819,0.143133648,FALSE,3,2,700
1,73,11.30994862,1,2,2972.458333,1,A344006,1,2,2,2,4,-1.334130819,0.143133648,FALSE,3,2,700
1,43,10.32796132,1,2,4160.416667,2,A345002,2,1,1,1,5,-0.237902886,0.143133648,FALSE,1,2,85
1,52,10.26300096,1,2,4314.458333,2,A345003,2,1,1,1,7,1.95455298,0.143133648,FALSE,1,2,220
1,50,10.3582801,1,2,4383.458333,1,A345004,2,1,1,1,6,0.858325047,0.143133648,FALSE,4,1,275
1,68,11.75051052,1,1,3324.458333,1,A345005,2,1,1,1,5,-0.237902886,0.143133648,FALSE,3,2,400
1,68,11.75051052,1,1,4748.458333,2,A345005,2,1,1,1,5,-0.237902886,0.143133648,FALSE,3,2,400
1,42,11.45670728,1,2,4289.416667,2,A345006,2,1,1,1,6,0.858325047,0.143133648,FALSE,3,2,900
1,42,11.45670728,1,2,5114.458333,2,A345006,2,1,1,1,6,0.858325047,0.143133648,FALSE,3,2,900
1,32,10.30118447,1,2,4414.458333,2,A345007,2,1,1,1,5,-0.237902886,0.143133648,FALSE,3,2,287
1,32,10.30118447,1,2,3523.416667,1,A345007,2,1,1,1,5,-0.237902886,0.143133648,FALSE,3,2,287
1,54,10.75769009,1,2,4974.416667,2,A346001,2,1,1,1,6,0.858325047,0.143133648,FALSE,1,2,500
1,43,10.80411337,1,2,3003.416667,1,A346004,2,1,1,1,6,0.858325047,0.143133648,FALSE,2,2,810
1,43,10.80411337,1,2,2406.416667,1,A346004,2,1,1,1,6,0.858325047,0.143133648,FALSE,2,2,810
1,43,10.80411337,1,2,3843.416667,1,A346004,2,1,1,1,6,0.858325047,0.143133648,FALSE,2,2,810
1,41,10.57601284,1,1,4426.458333,1,A346008,2,1,1,1,4,-1.334130819,0.143133648,FALSE,3,3,400
1,41,10.57601284,1,1,2762.416667,2,A346008,2,1,1,1,4,-1.334130819,0.143133648,FALSE,3,3,400
1,41,10.57601284,1,1,3087.416667,2,A346008,2,1,1,1,4,-1.334130819,0.143133648,FALSE,3,3,400
1,41,10.57601284,0,1,5253.416667,1,A346008,2,1,1,1,4,-1.334130819,-6.985372839,FALSE,3,3,400
1,41,10.57601284,1,1,3948.458333,2,A346008,2,1,1,1,4,-1.334130819,0.143133648,FALSE,3,3,400
1,45,11.77571821,1,2,3822.416667,1,A347001,1,2,2,2,6,0.858325047,0.143133648,FALSE,1,2,700
1,34,9.322213917,1,2,3248.458333,1,A347003,1,2,2,2,5,-0.237902886,0.143133648,FALSE,1,3,195
1,34,9.322213917,1,2,3896.416667,1,A347003,1,2,2,2,5,-0.237902886,0.143133648,FALSE,1,3,195
1,45,10.17174103,1,2,2732.416667,2,A348001,2,1,1,1,6,0.858325047,0.143133648,FALSE,2,2,500
1,45,10.17174103,1,2,3862.416667,2,A348001,2,1,1,1,6,0.858325047,0.143133648,FALSE,2,2,500
1,45,10.17174103,1,2,5471.458333,2,A348001,2,1,1,1,6,0.858325047,0.143133648,FALSE,2,2,500
1,46,10.34825579,1,2,3906.416667,2,A348002,2,1,1,1,4,-1.334130819,0.143133648,FALSE,1,2,250
1,46,10.34825579,1,2,3229.458333,2,A348002,2,1,1,1,4,-1.334130819,0.143133648,FALSE,1,2,250
1,52,10.38275616,1,1,3911.416667,2,A348003,2,1,1,1,6,0.858325047,0.143133648,FALSE,3,2,1050
1,52,10.38275616,1,1,3285.458333,2,A348003,2,1,1,1,6,0.858325047,0.143133648,FALSE,3,2,1050
1,52,10.38275616,1,1,4955.416667,1,A348003,2,1,1,1,6,0.858325047,0.143133648,FALSE,3,2,1050
1,48,9.616519511,1,2,4886.416667,1,A348005,2,1,1,1,5,-0.237902886,0.143133648,FALSE,3,2,200
1,48,9.616519511,1,2,4143.416667,1,A348005,2,1,1,1,5,-0.237902886,0.143133648,FALSE,3,2,200
1,40,9.766931181,1,1,3502.416667,2,A348006,2,1,1,1,6,0.858325047,0.143133648,FALSE,2,2,550
1,40,9.766931181,1,1,4217.416667,2,A348006,2,1,1,1,6,0.858325047,0.143133648,FALSE,2,2,550
1,40,9.766931181,1,1,2640.416667,2,A348006,2,1,1,1,6,0.858325047,0.143133648,FALSE,2,2,550
1,60,9.962463758,1,1,3318.458333,1,A348007,2,1,1,1,4,-1.334130819,0.143133648,FALSE,4,2,640
1,60,9.962463758,1,1,4461.416667,2,A348007,2,1,1,1,4,-1.334130819,0.143133648,FALSE,4,2,640
1,49,9.773338189,1,2,3653.458333,1,A348008,2,1,1,1,6,0.858325047,0.143133648,FALSE,2,2,300
1,44,9.525505585,1,2,4452.416667,1,A349002,1,1,4,4,4,-1.334130819,0.143133648,FALSE,1,1,570
1,47,9.871038148,1,2,2406.416667,2,A349003,1,1,4,4,5,-0.237902886,0.143133648,FALSE,1,2,270
1,47,9.871038148,1,2,3452.416667,2,A349003,1,1,4,4,5,-0.237902886,0.143133648,FALSE,1,2,270
1,47,10.49481951,1,2,4676.458333,2,A349004,1,1,4,4,6,0.858325047,0.143133648,FALSE,3,1,740
1,42,11.73177983,1,1,2289.416667,2,A349006,1,1,4,4,7,1.95455298,0.143133648,FALSE,3,3,530
1,42,11.73177983,1,1,2622.458333,2,A349006,1,1,4,4,7,1.95455298,0.143133648,FALSE,3,3,530
1,42,11.73177983,1,1,4754.458333,1,A349006,1,1,4,4,7,1.95455298,0.143133648,FALSE,3,3,530
1,43,9.820222396,1,2,2394.416667,1,A349007,1,1,4,4,5,-0.237902886,0.143133648,FALSE,2,1,560
1,43,9.820222396,1,2,3417.416667,2,A349007,1,1,4,4,5,-0.237902886,0.143133648,FALSE,2,1,560
1,43,9.820222396,1,2,4174.416667,1,A349007,1,1,4,4,5,-0.237902886,0.143133648,FALSE,2,1,560
1,41,10.77443717,1,2,4210.416667,1,A350001,1,1,2,2,6,0.858325047,0.143133648,FALSE,2,4,1300
1,41,10.77443717,1,2,4944.416667,2,A350001,1,1,2,2,6,0.858325047,0.143133648,FALSE,2,4,1300
1,46,10.85393123,1,2,2935.458333,1,A350003,1,1,2,2,5,-0.237902886,0.143133648,FALSE,3,3,1320
1,46,10.85393123,1,2,3901.416667,1,A350003,1,1,2,2,5,-0.237902886,0.143133648,FALSE,3,3,1320
1,42,10.31301582,1,2,4322.458333,1,A350004,1,1,2,2,4,-1.334130819,0.143133648,FALSE,3,4,1220
1,42,10.31301582,1,2,3466.416667,1,A350004,1,1,2,2,4,-1.334130819,0.143133648,FALSE,3,4,1220
1,38,10.38564912,1,2,4516.416667,1,A350005,1,1,2,2,5,-0.237902886,0.143133648,FALSE,2,3,1170
1,38,10.38564912,1,2,3932.458333,1,A350005,1,1,2,2,5,-0.237902886,0.143133648,FALSE,2,3,1170
1,34,10.36526548,1,2,2522.458333,2,A350006,1,1,2,2,6,0.858325047,0.143133648,FALSE,2,3,360
1,34,10.36526548,1,2,3300.458333,1,A350006,1,1,2,2,6,0.858325047,0.143133648,FALSE,2,3,360
1,37,10.77932527,1,1,3913.416667,1,A350007,1,1,2,2,6,0.858325047,0.143133648,FALSE,3,4,580
1,37,10.77932527,1,1,2862.458333,2,A350007,1,1,2,2,6,0.858325047,0.143133648,FALSE,3,4,580
1,37,10.77932527,1,1,4637.416667,2,A350007,1,1,2,2,6,0.858325047,0.143133648,FALSE,3,4,580
